Dataset,Method,Contamination,Metric,Value
Moons,KMeansIsolationForest,0.2,Accuracy,0.86
Moons,KMeansIsolationForest,0.2,Precision,0.4
Moons,KMeansIsolationForest,0.2,Recall,0.8
Moons,KMeansIsolationForest,0.2,F1-Score,0.5333333333333333
Moons,KMeansIsolationForest,0.2,ROC-AUC,0.908511111111111
Moons,IsolationForest,0.25,Accuracy,0.828
Moons,IsolationForest,0.25,Precision,0.356
Moons,IsolationForest,0.25,Recall,0.89
Moons,IsolationForest,0.25,F1-Score,0.5085714285714286
Moons,IsolationForest,0.25,ROC-AUC,0.9282333333333332
Moons,KMeansIsolationForest,0.25,Accuracy,0.822
Moons,KMeansIsolationForest,0.25,Precision,0.344
Moons,KMeansIsolationForest,0.25,Recall,0.86
Moons,KMeansIsolationForest,0.25,F1-Score,0.49142857142857144
Moons,KMeansIsolationForest,0.25,ROC-AUC,0.908511111111111
Moons,IsolationForest,0.3,Accuracy,0.78
Moons,IsolationForest,0.3,Precision,0.3
Moons,IsolationForest,0.3,Recall,0.9
Moons,IsolationForest,0.3,F1-Score,0.45
Moons,IsolationForest,0.3,ROC-AUC,0.9282333333333332
Moons,KMeansIsolationForest,0.3,Accuracy,0.776
Moons,KMeansIsolationForest,0.3,Precision,0.29333333333333333
Moons,KMeansIsolationForest,0.3,Recall,0.88
Moons,KMeansIsolationForest,0.3,F1-Score,0.44
Moons,KMeansIsolationForest,0.3,ROC-AUC,0.908511111111111
Circles,IsolationForest,0.05,Accuracy,0.95
Circles,IsolationForest,0.05,Precision,1.0
Circles,IsolationForest,0.05,Recall,0.5
Circles,IsolationForest,0.05,F1-Score,0.6666666666666666
Circles,IsolationForest,0.05,ROC-AUC,0.8485777777777778
Circles,KMeansIsolationForest,0.05,Accuracy,0.95
Circles,KMeansIsolationForest,0.05,Precision,1.0
Circles,KMeansIsolationForest,0.05,Recall,0.5
Circles,KMeansIsolationForest,0.05,F1-Score,0.6666666666666666
Circles,KMeansIsolationForest,0.05,ROC-AUC,0.8702777777777778
Circles,IsolationForest,0.1,Accuracy,0.93
Circles,IsolationForest,0.1,Precision,0.65
Circles,IsolationForest,0.1,Recall,0.65
Circles,IsolationForest,0.1,F1-Score,0.65
Circles,IsolationForest,0.1,ROC-AUC,0.8485777777777778
Circles,KMeansIsolationForest,0.1,Accuracy,0.934
Circles,KMeansIsolationForest,0.1,Precision,0.67
Circles,KMeansIsolationForest,0.1,Recall,0.67
Circles,KMeansIsolationForest,0.1,F1-Score,0.67
Circles,KMeansIsolationForest,0.1,ROC-AUC,0.8702777777777778
Circles,IsolationForest,0.15,Accuracy,0.886
Circles,IsolationForest,0.15,Precision,0.4533333333333333
Circles,IsolationForest,0.15,Recall,0.68
Circles,IsolationForest,0.15,F1-Score,0.544
Circles,IsolationForest,0.15,ROC-AUC,0.8485777777777778
