Method,Balanced Accuracy,F1-Score,Precision,Recall,ROC-AUC,PR-AUC,Train Time (s),Pred Time (s)
IsolationForest,0.49444444444444446,0.11538461538461539,0.09375,0.15,0.523888888888889,0.11559903059914758,2.174732800000129,0.2522805789994891
KMeansIsolationForest,0.4666666666666667,0.13725490196078433,0.08536585365853659,0.35,0.43972222222222224,0.1082369423544399,4.805414792999727,1.0346923460001562
