Dataset Size,Method,Training Time (s),Training Std (s),Prediction Time (s),Prediction Std (s),Total Time (s)
100000,IsolationForest,0.9556546829999206,0.036066499737950265,0.7127399070000138,0.045546945130861466,1.6683945899999344
100000,KMeansIsolationForest,4.3603171899999325,0.15453660511266767,0.5938138353333974,0.018214953512882687,4.9541310253333295
100000,sklearn IsolationForest,0.17330412366648792,0.0026895051715857625,0.10929153233337274,0.00023598866568867724,0.2825956559998607
500000,IsolationForest,5.793713499666713,0.16866666085463006,3.8345459176666736,0.22786675422248967,9.628259417333386
500000,KMeansIsolationForest,11.61967995899992,0.39254872739865354,4.202751166333201,0.1587880192765135,15.82243112533312
500000,sklearn IsolationForest,0.692811066666612,0.016598462865297144,0.5627448310001455,0.003137337988535364,1.2555558976667576
