Algorithm,Mean Time (s),Std Time (s)
PyOD IForest,0.4035702286000742,0.007339046574690217
PyOD LOF,0.13285349379993933,0.004477404046759589
PyOD COPOD,0.08457051320001482,0.10056579365002992
PyOD ECOD,0.03115479560001404,0.007393740209020959
PyOD KNN,0.12675591579991305,0.009057569845492351
Our IForest,0.9194955787999788,0.03797744389812822
Our KMeans IF,5.470650781599943,0.07611020073961319
