Algorithm,Mean Time (s),Std Time (s)
PyOD IForest,0.4115794312000389,0.007812443204321226
PyOD LOF,0.17452855800001998,0.0021886725770234937
PyOD COPOD,0.07137919399999645,0.07556360556443666
PyOD ECOD,0.03054663399996116,0.0070898317275418805
PyOD KNN,0.1345831361999899,0.006446697987662921
H2o Extended IForest,0.34525829059998614,0.18094433845805966
Our IForest,1.3147978208000268,0.7493537547770257
Our KMeans IF,5.7429436213999905,0.5402580968227355
